step,avg_reward,success_rate,avg_length,q_loss,actor_loss,alpha
480000,310.5907085254788,0.7,371.4,40.59880828857422,-155.24844360351562,0.1318458467721939
490000,431.5698459809646,0.9,205.2,62.32213592529297,-150.97303771972656,0.12645335495471954
500000,462.43157430775466,0.95,129.0,61.13048553466797,-158.71109008789062,0.12706924974918365
510000,403.45113151706755,0.85,200.7,34.244773864746094,-146.39649963378906,0.1274726688861847
520000,403.2054788775742,0.85,182.15,56.96916198730469,-155.13381958007812,0.12815208733081818
530000,372.8638523330912,0.8,181.4,58.4992790222168,-139.3898162841797,0.12795788049697876
540000,432.6784688992426,0.9,139.45,66.44145202636719,-153.065185546875,0.12726956605911255
550000,462.437306522578,0.95,107.9,50.885833740234375,-156.88815307617188,0.11893030256032944
560000,341.81048741322013,0.75,251.95,71.3228759765625,-156.00189208984375,0.12345554679632187
570000,434.3223750809208,0.9,137.35,41.1195068359375,-157.63592529296875,0.12555082142353058
580000,462.1900683926418,0.95,152.65,84.71300506591797,-166.6947784423828,0.12721049785614014
590000,369.2908486396074,0.8,245.9,54.89226531982422,-162.1414337158203,0.1303189992904663
600000,311.5957989631221,0.7,322.9,32.47663116455078,-152.22715759277344,0.1289365589618683
610000,402.8122462578118,0.85,189.5,34.4415397644043,-175.5838623046875,0.12786909937858582
620000,463.02807073798033,0.95,96.95,55.762054443359375,-147.61029052734375,0.1276240199804306
630000,432.3832648733631,0.9,135.75,77.96410369873047,-160.48927307128906,0.129397913813591
640000,435.01908425427973,0.9,124.55,49.64638900756836,-153.63092041015625,0.1289636194705963
650000,462.4168145596981,0.95,101.45,41.97850036621094,-160.99777221679688,0.12090596556663513
660000,434.1078599631786,0.9,132.3,65.87847900390625,-169.80474853515625,0.12377901375293732
670000,400.00307625830175,0.85,227.3,56.51725769042969,-157.7880401611328,0.12112989276647568
680000,494.22564155831935,1.0,91.25,111.53350067138672,-181.32345581054688,0.11904828995466232
690000,403.66111969705673,0.85,228.9,125.78873443603516,-170.5660400390625,0.12328238785266876
700000,404.1577346129343,0.85,190.6,67.39203643798828,-160.8948516845703,0.12073995172977448
710000,342.4402139754966,0.75,147.4,34.75780487060547,-156.86500549316406,0.12224961817264557
720000,372.1569230988622,0.8,243.85,62.58127975463867,-170.33465576171875,0.1226501315832138
730000,462.2966114507988,0.95,110.6,76.68107604980469,-160.29519653320312,0.11954572796821594
740000,458.3588659273461,0.95,165.35,43.64385223388672,-155.90733337402344,0.11896362900733948
750000,460.88664033096285,0.95,133.05,35.100624084472656,-176.56455993652344,0.11499818414449692
760000,366.178845541738,0.8,236.7,49.24050521850586,-156.11703491210938,0.12437592446804047
770000,403.84323560986667,0.85,109.4,43.72782897949219,-159.20518493652344,0.11896805465221405
780000,462.8904973182827,0.95,145.2,46.591094970703125,-148.90321350097656,0.1152481734752655
790000,464.91229866426437,0.95,99.45,71.22012329101562,-171.93386840820312,0.11905714869499207
800000,464.61268604695795,0.95,85.35,59.803619384765625,-153.27151489257812,0.11506910622119904
810000,430.46048653572797,0.9,190.2,46.1556396484375,-176.3087921142578,0.11660204082727432
820000,434.77274426706134,0.9,134.15,31.60909080505371,-149.59510803222656,0.1178663820028305
830000,372.60717368610204,0.8,268.3,29.050418853759766,-156.34228515625,0.11387092620134354
840000,432.63669313415886,0.9,190.1,150.87176513671875,-174.11019897460938,0.12324269115924835
850000,463.49421861898156,0.95,150.4,58.17377471923828,-169.98484802246094,0.1178516298532486
860000,493.6120537266135,1.0,97.2,45.29078674316406,-161.05865478515625,0.12477141618728638
870000,465.8913720414042,0.95,114.4,24.564735412597656,-159.484619140625,0.12183954566717148
880000,369.42160547394303,0.8,236.0,39.64842224121094,-189.63241577148438,0.11520446836948395
890000,402.9986761379987,0.85,121.65,53.716156005859375,-170.78799438476562,0.11472039669752121
900000,433.8647808453068,0.9,139.7,59.17413330078125,-171.63839721679688,0.11653492599725723
910000,282.3599967274815,0.65,257.6,65.53202819824219,-173.210205078125,0.11545686423778534
920000,465.36846579965203,0.95,82.55,30.54788589477539,-167.80361938476562,0.11610725522041321
930000,404.4963872995228,0.85,129.25,59.307960510253906,-174.1757354736328,0.11568476259708405
940000,403.68442570958285,0.85,136.45,40.17596435546875,-173.160400390625,0.114833302795887
950000,403.9034160312265,0.85,144.1,91.18553161621094,-161.03970336914062,0.10836359113454819
960000,464.975701790303,0.95,126.8,105.07969665527344,-167.58631896972656,0.11216787248849869
970000,403.7575789226219,0.85,240.8,60.146568298339844,-180.78749084472656,0.10714118927717209
980000,463.425023778528,0.95,150.1,247.40325927734375,-175.58624267578125,0.10717044025659561
990000,403.9628614265472,0.85,223.45,74.8050537109375,-178.85740661621094,0.10916344076395035
1000000,374.63811987265944,0.8,235.25,29.27710723876953,-173.7606658935547,0.10654214024543762
